grain;wine;timber;cattle;fruit;fish;wool;coal;iron;cotton;tea;coffee;tropical_wood;tobaco;sulphur;silk;opium;precious_metal;rubber;aeroplane;ammunition;artillery;automobile;tanks;canned_food;cement;clipper;electric_gear;explosives;fabric;fertilizer;fuel;furniture;glass;liquor;lumber;luxury_clothes;luxury_furniture;machine_parts;paper;radio;regular_clothes;small_arms;steamer;steel;telephone;oil;dye;
0.39;12.54;5.16;0.39;0.61;0.48;2.16;2.4;1.8;0.48;0.38;0.33;1.16;0.54;2;0.05;0.15;2;0.16;112.84;20.34;62.84;72.84;100.84;18.84;18.84;44.84;7.84;22.84;4.64;12.84;27.84;7.74;5.74;9.24;3.84;67.84;61.84;38.84;6.24;18.84;8.64;39.84;67.84;7.54;18.84;1;0.04;
0.39;12.55;5.15;0.39;0.61;0.48;2.15;2.4;1.8;0.48;0.38;0.33;1.15;0.54;2;0.05;0.15;2;0.16;112.85;20.35;62.85;72.85;100.85;18.85;18.85;44.85;7.85;22.85;4.65;12.85;27.85;7.75;5.75;9.25;3.85;67.85;61.85;38.85;6.25;18.85;8.65;39.85;67.85;7.55;18.85;1;0.04;
0.39;12.56;5.14;0.39;0.61;0.48;2.14;2.4;1.8;0.48;0.38;0.33;1.14;0.54;2;0.05;0.15;2;0.16;112.86;20.36;62.86;72.86;100.86;18.86;18.86;44.86;7.86;22.86;4.66;12.86;27.86;7.76;5.76;9.26;3.86;67.86;61.86;38.86;6.26;18.86;8.66;39.86;67.86;7.56;18.86;1;0.04;
0.39;12.57;5.13;0.39;0.61;0.48;2.13;2.4;1.8;0.48;0.38;0.33;1.13;0.54;2;0.05;0.15;2;0.16;112.87;20.37;62.87;72.87;100.87;18.87;18.87;44.87;7.87;22.87;4.67;12.87;27.87;7.77;5.77;9.27;3.87;67.87;61.87;38.87;6.27;18.87;8.67;39.87;67.87;7.57;18.87;1;0.04;
0.39;12.58;5.12;0.39;0.61;0.48;2.12;2.4;1.8;0.48;0.38;0.33;1.12;0.54;2;0.05;0.15;2;0.16;112.88;20.38;62.88;72.88;100.88;18.88;18.88;44.88;7.88;22.88;4.68;12.88;27.88;7.78;5.78;9.28;3.88;67.88;61.88;38.88;6.28;18.88;8.68;39.88;67.88;7.58;18.88;1;0.04;
0.39;12.59;5.11;0.39;0.61;0.48;2.11;2.4;1.8;0.48;0.38;0.33;1.11;0.54;2;0.05;0.15;2;0.16;112.89;20.39;62.89;72.89;100.89;18.89;18.89;44.89;7.89;22.89;4.69;12.89;27.89;7.79;5.79;9.29;3.89;67.89;61.89;38.89;6.29;18.89;8.69;39.89;67.89;7.59;18.89;1;0.04;
0.39;12.6;5.1;0.39;0.61;0.48;2.1;2.4;1.8;0.48;0.38;0.33;1.1;0.54;2;0.05;0.15;2;0.16;112.9;20.4;62.9;72.9;100.9;18.9;18.9;44.9;7.9;22.9;4.7;12.9;27.9;7.8;5.8;9.3;3.9;67.9;61.9;38.9;6.3;18.9;8.7;39.9;67.9;7.6;18.9;1;0.04;
0.39;12.61;5.09;0.39;0.61;0.48;2.09;2.4;1.8;0.48;0.38;0.33;1.09;0.54;2;0.05;0.15;2;0.16;112.91;20.41;62.91;72.91;100.91;18.91;18.91;44.91;7.91;22.91;4.71;12.91;27.91;7.81;5.81;9.31;3.91;67.91;61.91;38.91;6.31;18.91;8.71;39.91;67.91;7.61;18.91;1;0.04;
0.39;12.62;5.08;0.39;0.61;0.48;2.08;2.4;1.8;0.48;0.38;0.33;1.08;0.54;2;0.05;0.15;2;0.16;112.92;20.42;62.92;72.92;100.92;18.92;18.92;44.92;7.92;22.92;4.72;12.92;27.92;7.82;5.82;9.32;3.92;67.92;61.92;38.92;6.32;18.92;8.72;39.92;67.92;7.62;18.92;1;0.04;
0.39;12.63;5.07;0.39;0.61;0.48;2.07;2.4;1.8;0.48;0.38;0.33;1.07;0.54;2;0.05;0.15;2;0.16;112.93;20.43;62.93;72.93;100.93;18.93;18.93;44.93;7.93;22.93;4.73;12.93;27.93;7.83;5.83;9.33;3.93;67.93;61.93;38.93;6.33;18.93;8.73;39.93;67.93;7.63;18.93;1;0.04;
0.39;12.64;5.06;0.39;0.61;0.48;2.06;2.4;1.8;0.48;0.38;0.33;1.06;0.54;2;0.05;0.15;2;0.16;112.94;20.44;62.94;72.94;100.94;18.94;18.94;44.94;7.94;22.94;4.74;12.94;27.94;7.84;5.84;9.34;3.94;67.94;61.94;38.94;6.34;18.94;8.74;39.94;67.94;7.64;18.94;1;0.04;
0.39;12.65;5.05;0.39;0.61;0.48;2.05;2.4;1.8;0.48;0.38;0.33;1.05;0.54;2;0.05;0.15;2;0.16;112.95;20.45;62.95;72.95;100.95;18.95;18.95;44.95;7.95;22.95;4.75;12.95;27.95;7.85;5.85;9.35;3.95;67.95;61.95;38.95;6.35;18.95;8.75;39.95;67.95;7.65;18.95;1;0.04;
0.39;12.66;5.04;0.39;0.61;0.48;2.04;2.4;1.8;0.48;0.38;0.33;1.04;0.54;2;0.05;0.15;2;0.16;112.96;20.46;62.96;72.96;100.96;18.96;18.96;44.96;7.96;22.96;4.76;12.96;27.96;7.86;5.86;9.36;3.96;67.96;61.96;38.96;6.36;18.96;8.76;39.96;67.96;7.66;18.96;1;0.04;
0.39;12.67;5.03;0.39;0.61;0.48;2.03;2.4;1.8;0.48;0.38;0.33;1.03;0.54;2;0.05;0.15;2;0.16;112.97;20.47;62.97;72.97;100.97;18.97;18.97;44.97;7.97;22.97;4.77;12.97;27.97;7.87;5.87;9.37;3.97;67.97;61.97;38.97;6.37;18.97;8.77;39.97;67.97;7.67;18.97;1;0.04;
0.39;12.68;5.02;0.39;0.61;0.48;2.02;2.4;1.8;0.48;0.38;0.33;1.02;0.54;2;0.05;0.15;2;0.16;112.98;20.48;62.98;72.98;100.98;18.98;18.98;44.98;7.98;22.98;4.78;12.98;27.98;7.88;5.88;9.38;3.98;67.98;61.98;38.98;6.38;18.98;8.78;39.98;67.98;7.68;18.98;1;0.04;
0.39;12.69;5.01;0.39;0.61;0.48;2.01;2.4;1.8;0.48;0.38;0.33;1.01;0.54;2;0.05;0.15;2;0.16;112.99;20.49;62.99;72.99;100.99;18.99;18.99;44.99;7.99;22.99;4.79;12.99;27.99;7.89;5.89;9.39;3.99;67.99;61.99;38.99;6.39;18.99;8.79;39.99;67.99;7.69;18.99;1;0.04;
0.39;12.7;5;0.39;0.61;0.48;2;2.4;1.8;0.48;0.38;0.33;1;0.54;2;0.05;0.15;2;0.16;113;20.5;63;73;101;19;19;45;8;23;4.8;13;28;7.9;5.9;9.4;4;68;62;39;6.4;19;8.8;40;68;7.7;19;1;0.04;
0.39;12.71;4.99;0.39;0.61;0.48;1.99;2.4;1.8;0.48;0.38;0.33;0.99;0.54;2;0.05;0.15;2;0.16;113.01;20.51;63.01;73.01;101.01;19.01;19.01;45.01;8.01;23.01;4.81;13.01;28.01;7.91;5.91;9.41;4.01;68.01;62.01;39.01;6.41;19.01;8.81;40.01;68.01;7.71;19.01;1;0.04;
0.39;12.72;4.98;0.39;0.61;0.48;1.98;2.4;1.8;0.48;0.38;0.33;0.98;0.54;2;0.05;0.15;2;0.16;113.02;20.52;63.02;73.02;101.02;19.02;19.02;45.02;8.02;23.02;4.82;13.02;28.02;7.92;5.92;9.42;4.02;68.02;62.02;39.02;6.42;19.02;8.82;40.02;68.02;7.72;19.02;1;0.04;
0.39;12.73;4.97;0.39;0.61;0.48;1.97;2.4;1.8;0.48;0.38;0.33;0.97;0.54;2;0.05;0.15;2;0.16;113.03;20.53;63.03;73.03;101.03;19.03;19.03;45.03;8.03;23.03;4.83;13.03;28.03;7.93;5.93;9.43;4.03;68.03;62.03;39.03;6.43;19.03;8.83;40.03;68.03;7.73;19.03;1;0.04;
0.39;12.74;4.96;0.39;0.61;0.48;1.96;2.4;1.8;0.48;0.38;0.33;0.96;0.54;2;0.05;0.15;2;0.16;113.04;20.54;63.04;73.04;101.04;19.04;19.04;45.04;8.04;23.04;4.84;13.04;28.04;7.94;5.94;9.44;4.04;68.04;62.04;39.04;6.44;19.04;8.84;40.04;68.04;7.74;19.04;1;0.04;
0.39;12.75;4.95;0.39;0.61;0.48;1.95;2.4;1.8;0.48;0.38;0.33;0.95;0.54;2;0.05;0.15;2;0.16;113.05;20.55;63.05;73.05;101.05;19.05;19.05;45.05;8.05;23.05;4.85;13.05;28.05;7.95;5.95;9.45;4.05;68.05;62.05;39.05;6.45;19.05;8.85;40.05;68.05;7.75;19.05;1;0.04;
0.39;12.76;4.94;0.39;0.61;0.48;1.94;2.4;1.8;0.48;0.38;0.33;0.94;0.54;2;0.05;0.15;2;0.16;113.06;20.56;63.06;73.06;101.06;19.06;19.06;45.06;8.06;23.06;4.86;13.06;28.06;7.96;5.96;9.46;4.06;68.06;62.06;39.06;6.46;19.06;8.86;40.06;68.06;7.76;19.06;1;0.04;
0.39;12.77;4.93;0.39;0.61;0.48;1.93;2.4;1.8;0.48;0.38;0.33;0.93;0.54;2;0.05;0.15;2;0.16;113.07;20.57;63.07;73.07;101.07;19.07;19.07;45.07;8.07;23.07;4.87;13.07;28.07;7.97;5.97;9.47;4.07;68.07;62.07;39.07;6.47;19.07;8.87;40.07;68.07;7.77;19.07;1;0.04;
0.39;12.78;4.92;0.39;0.61;0.48;1.92;2.4;1.8;0.48;0.38;0.33;0.92;0.54;2;0.05;0.15;2;0.16;113.08;20.58;63.08;73.08;101.08;19.08;19.08;45.08;8.08;23.08;4.88;13.08;28.08;7.98;5.98;9.48;4.08;68.08;62.08;39.08;6.48;19.08;8.88;40.08;68.08;7.78;19.08;1;0.04;
0.39;12.79;4.91;0.39;0.61;0.48;1.91;2.4;1.8;0.48;0.38;0.33;0.91;0.54;2;0.05;0.15;2;0.16;113.09;20.59;63.09;73.09;101.09;19.09;19.09;45.09;8.09;23.09;4.89;13.09;28.09;7.99;5.99;9.49;4.09;68.09;62.09;39.09;6.49;19.09;8.89;40.09;68.09;7.79;19.09;1;0.04;
0.39;12.8;4.9;0.39;0.61;0.48;1.9;2.4;1.8;0.48;0.38;0.33;0.9;0.54;2;0.05;0.15;2;0.16;113.1;20.6;63.1;73.1;101.1;19.1;19.1;45.1;8.1;23.1;4.9;13.1;28.1;8;6;9.5;4.1;68.1;62.1;39.1;6.5;19.1;8.9;40.1;68.1;7.8;19.1;1;0.04;
0.39;12.81;4.89;0.39;0.61;0.48;1.89;2.4;1.8;0.48;0.38;0.33;0.89;0.54;2;0.05;0.15;2;0.16;113.11;20.61;63.11;73.11;101.11;19.11;19.11;45.11;8.11;23.11;4.91;13.11;28.11;8.01;6.01;9.51;4.11;68.11;62.11;39.11;6.51;19.11;8.91;40.11;68.11;7.81;19.11;1;0.04;
0.39;12.82;4.88;0.39;0.61;0.48;1.88;2.4;1.8;0.48;0.38;0.33;0.88;0.54;2;0.05;0.15;2;0.16;113.12;20.62;63.12;73.12;101.12;19.12;19.12;45.12;8.12;23.12;4.92;13.12;28.12;8.02;6.02;9.52;4.12;68.12;62.12;39.12;6.52;19.12;8.92;40.12;68.12;7.82;19.12;1;0.04;
0.39;12.83;4.87;0.39;0.61;0.48;1.87;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.13;20.63;63.13;73.13;101.13;19.13;19.13;45.13;8.13;23.13;4.93;13.13;28.13;8.03;6.03;9.53;4.13;68.13;62.13;39.13;6.53;19.13;8.93;40.13;68.13;7.83;19.13;1;0.04;
0.39;12.84;4.86;0.39;0.61;0.48;1.86;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.14;20.64;63.14;73.14;101.14;19.14;19.14;45.14;8.14;23.14;4.94;13.14;28.14;8.04;6.04;9.54;4.14;68.14;62.14;39.14;6.54;19.14;8.94;40.14;68.14;7.84;19.14;1;0.04;
0.39;12.85;4.85;0.39;0.61;0.48;1.85;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.15;20.65;63.15;73.15;101.15;19.15;19.15;45.15;8.15;23.15;4.95;13.15;28.15;8.05;6.05;9.55;4.15;68.15;62.15;39.15;6.55;19.15;8.95;40.15;68.15;7.85;19.15;1;0.04;
0.39;12.86;4.84;0.39;0.61;0.48;1.84;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.16;20.66;63.16;73.16;101.16;19.16;19.16;45.16;8.16;23.16;4.96;13.16;28.16;8.06;6.06;9.56;4.16;68.16;62.16;39.16;6.56;19.16;8.96;40.16;68.16;7.86;19.16;1;0.04;
0.39;12.87;4.83;0.39;0.61;0.48;1.83;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.17;20.67;63.17;73.17;101.17;19.17;19.17;45.17;8.17;23.17;4.97;13.17;28.17;8.07;6.07;9.57;4.17;68.17;62.17;39.17;6.57;19.17;8.97;40.17;68.17;7.87;19.17;1;0.04;
0.39;12.88;4.82;0.39;0.61;0.48;1.82;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.18;20.68;63.18;73.18;101.18;19.18;19.18;45.18;8.18;23.18;4.98;13.18;28.18;8.08;6.08;9.58;4.18;68.18;62.18;39.18;6.58;19.18;8.98;40.18;68.18;7.88;19.18;1;0.04;
0.39;12.89;4.81;0.39;0.61;0.48;1.81;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.19;20.69;63.19;73.19;101.19;19.19;19.19;45.19;8.19;23.19;4.99;13.19;28.19;8.09;6.09;9.59;4.19;68.19;62.19;39.19;6.59;19.19;8.99;40.19;68.19;7.89;19.19;1;0.04;
0.39;12.9;4.8;0.39;0.61;0.48;1.8;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.2;20.7;63.2;73.2;101.2;19.2;19.2;45.2;8.2;23.2;5;13.2;28.2;8.1;6.1;9.6;4.2;68.2;62.2;39.2;6.6;19.2;9;40.2;68.2;7.9;19.2;1;0.04;
0.39;12.91;4.79;0.39;0.61;0.48;1.79;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.21;20.71;63.21;73.21;101.21;19.21;19.21;45.21;8.21;23.21;5.01;13.21;28.21;8.11;6.11;9.61;4.21;68.21;62.21;39.21;6.61;19.21;9.01;40.21;68.21;7.91;19.21;1;0.04;
0.39;12.92;4.78;0.39;0.61;0.48;1.78;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.22;20.72;63.22;73.22;101.22;19.22;19.22;45.22;8.22;23.22;5.02;13.22;28.22;8.12;6.12;9.62;4.22;68.22;62.22;39.22;6.62;19.22;9.02;40.22;68.22;7.92;19.22;1;0.04;
0.39;12.93;4.77;0.39;0.61;0.48;1.77;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.23;20.73;63.23;73.23;101.23;19.23;19.23;45.23;8.23;23.23;5.03;13.23;28.23;8.13;6.13;9.63;4.23;68.23;62.23;39.23;6.63;19.23;9.03;40.23;68.23;7.93;19.23;1;0.04;
0.39;12.94;4.76;0.39;0.61;0.48;1.76;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.24;20.74;63.24;73.24;101.24;19.24;19.24;45.24;8.24;23.24;5.04;13.24;28.24;8.14;6.14;9.64;4.24;68.24;62.24;39.24;6.64;19.24;9.04;40.24;68.24;7.94;19.24;1;0.04;
0.39;12.95;4.75;0.39;0.61;0.48;1.75;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.25;20.75;63.25;73.25;101.25;19.25;19.25;45.25;8.25;23.25;5.05;13.25;28.25;8.15;6.15;9.65;4.25;68.25;62.25;39.25;6.65;19.25;9.05;40.25;68.25;7.95;19.25;1;0.04;
0.39;12.96;4.74;0.39;0.61;0.48;1.74;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.26;20.76;63.26;73.26;101.26;19.26;19.26;45.26;8.26;23.26;5.06;13.26;28.26;8.16;6.16;9.66;4.26;68.26;62.26;39.26;6.66;19.26;9.06;40.26;68.26;7.96;19.26;1;0.04;
0.39;12.97;4.73;0.39;0.61;0.48;1.73;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.27;20.77;63.27;73.27;101.27;19.27;19.27;45.27;8.27;23.27;5.07;13.27;28.27;8.17;6.17;9.67;4.27;68.27;62.27;39.27;6.67;19.27;9.07;40.27;68.27;7.97;19.27;1;0.04;
0.39;12.98;4.72;0.39;0.61;0.48;1.72;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.28;20.78;63.28;73.28;101.28;19.28;19.28;45.28;8.28;23.28;5.08;13.28;28.28;8.18;6.18;9.68;4.28;68.28;62.28;39.28;6.68;19.28;9.08;40.28;68.28;7.98;19.28;1;0.04;
0.39;12.99;4.71;0.39;0.61;0.48;1.71;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.29;20.79;63.29;73.29;101.29;19.29;19.29;45.29;8.29;23.29;5.09;13.29;28.29;8.19;6.19;9.69;4.29;68.29;62.29;39.29;6.69;19.29;9.09;40.29;68.29;7.99;19.29;1;0.04;
0.39;13;4.7;0.39;0.61;0.48;1.7;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.3;20.8;63.3;73.3;101.3;19.3;19.3;45.3;8.3;23.3;5.1;13.3;28.3;8.2;6.2;9.7;4.3;68.3;62.3;39.3;6.7;19.3;9.1;40.3;68.3;8;19.3;1;0.04;
0.39;13.01;4.69;0.39;0.61;0.48;1.69;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.31;20.81;63.31;73.31;101.31;19.31;19.31;45.31;8.31;23.31;5.11;13.31;28.31;8.21;6.21;9.71;4.31;68.31;62.31;39.31;6.71;19.31;9.11;40.31;68.31;8.01;19.31;1;0.04;
0.39;13.02;4.68;0.39;0.61;0.48;1.68;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.32;20.82;63.32;73.32;101.32;19.32;19.32;45.32;8.32;23.32;5.12;13.32;28.32;8.22;6.22;9.72;4.32;68.32;62.32;39.32;6.72;19.32;9.12;40.32;68.32;8.02;19.32;1;0.04;
0.39;13.03;4.67;0.39;0.61;0.48;1.67;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.33;20.83;63.33;73.33;101.33;19.33;19.33;45.33;8.33;23.33;5.13;13.33;28.33;8.23;6.23;9.73;4.33;68.33;62.33;39.33;6.73;19.33;9.13;40.33;68.33;8.03;19.33;1;0.04;
0.39;13.04;4.66;0.39;0.61;0.48;1.66;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.34;20.84;63.34;73.34;101.34;19.34;19.34;45.34;8.34;23.34;5.14;13.34;28.34;8.24;6.24;9.74;4.34;68.34;62.34;39.34;6.74;19.34;9.14;40.34;68.34;8.04;19.34;1;0.04;
0.39;13.05;4.65;0.39;0.61;0.48;1.65;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.35;20.85;63.35;73.35;101.35;19.35;19.35;45.35;8.35;23.35;5.15;13.35;28.35;8.25;6.25;9.75;4.35;68.35;62.35;39.35;6.75;19.35;9.15;40.35;68.35;8.05;19.35;1;0.04;
0.39;13.06;4.64;0.39;0.61;0.48;1.64;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.36;20.86;63.36;73.36;101.36;19.36;19.36;45.36;8.36;23.36;5.16;13.36;28.36;8.26;6.26;9.76;4.36;68.36;62.36;39.36;6.76;19.36;9.16;40.36;68.36;8.06;19.36;1;0.04;
0.39;13.07;4.63;0.39;0.61;0.48;1.63;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.37;20.87;63.37;73.37;101.37;19.37;19.37;45.37;8.37;23.37;5.17;13.37;28.37;8.27;6.27;9.77;4.37;68.37;62.37;39.37;6.77;19.37;9.17;40.37;68.37;8.07;19.37;1;0.04;
0.39;13.08;4.62;0.39;0.61;0.48;1.62;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.38;20.88;63.38;73.38;101.38;19.38;19.38;45.38;8.38;23.38;5.18;13.38;28.38;8.28;6.28;9.78;4.38;68.38;62.38;39.38;6.78;19.38;9.18;40.38;68.38;8.08;19.38;1;0.04;
0.39;13.09;4.61;0.39;0.61;0.48;1.61;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.39;20.89;63.39;73.39;101.39;19.39;19.39;45.39;8.39;23.39;5.19;13.39;28.39;8.29;6.29;9.79;4.39;68.39;62.39;39.39;6.79;19.39;9.19;40.39;68.39;8.09;19.39;1;0.04;
0.39;13.1;4.6;0.39;0.61;0.48;1.6;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.4;20.9;63.4;73.4;101.4;19.4;19.4;45.4;8.4;23.4;5.2;13.4;28.4;8.3;6.3;9.8;4.4;68.4;62.4;39.4;6.8;19.4;9.2;40.4;68.4;8.1;19.4;1;0.04;
0.39;13.11;4.59;0.39;0.61;0.48;1.59;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.41;20.91;63.41;73.41;101.41;19.41;19.41;45.41;8.41;23.41;5.21;13.41;28.41;8.31;6.31;9.81;4.41;68.41;62.41;39.41;6.81;19.41;9.21;40.41;68.41;8.11;19.41;1;0.04;
0.39;13.12;4.58;0.39;0.61;0.48;1.58;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.42;20.92;63.42;73.42;101.42;19.42;19.42;45.42;8.42;23.42;5.22;13.42;28.42;8.32;6.32;9.82;4.42;68.42;62.42;39.42;6.82;19.42;9.22;40.42;68.42;8.12;19.42;1;0.04;
0.39;13.13;4.57;0.39;0.61;0.48;1.57;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.43;20.93;63.43;73.43;101.43;19.43;19.43;45.43;8.43;23.43;5.23;13.43;28.43;8.33;6.33;9.83;4.43;68.43;62.43;39.43;6.83;19.43;9.23;40.43;68.43;8.13;19.43;1;0.04;
0.39;13.14;4.56;0.39;0.61;0.48;1.56;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.44;20.94;63.44;73.44;101.44;19.44;19.44;45.44;8.44;23.44;5.24;13.44;28.44;8.34;6.34;9.84;4.44;68.44;62.44;39.44;6.84;19.44;9.24;40.44;68.44;8.14;19.44;1;0.04;
0.39;13.15;4.55;0.39;0.61;0.48;1.55;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.45;20.95;63.45;73.45;101.45;19.45;19.45;45.45;8.45;23.45;5.25;13.45;28.45;8.35;6.35;9.85;4.45;68.45;62.45;39.45;6.85;19.45;9.25;40.45;68.45;8.15;19.45;1;0.04;
0.39;13.16;4.54;0.39;0.61;0.48;1.54;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.46;20.96;63.46;73.46;101.46;19.46;19.46;45.46;8.46;23.46;5.26;13.46;28.46;8.36;6.36;9.86;4.46;68.46;62.46;39.46;6.86;19.46;9.26;40.46;68.46;8.16;19.46;1;0.04;
0.39;13.17;4.53;0.39;0.61;0.48;1.53;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.47;20.97;63.47;73.47;101.47;19.47;19.47;45.47;8.47;23.47;5.27;13.47;28.47;8.37;6.37;9.87;4.47;68.47;62.47;39.47;6.87;19.47;9.27;40.47;68.47;8.17;19.47;1;0.04;
0.39;13.18;4.52;0.39;0.61;0.48;1.52;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.48;20.98;63.48;73.48;101.48;19.48;19.48;45.48;8.48;23.48;5.28;13.48;28.48;8.38;6.38;9.88;4.48;68.48;62.48;39.48;6.88;19.48;9.28;40.48;68.48;8.18;19.48;1;0.04;
0.39;13.19;4.51;0.39;0.61;0.48;1.51;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.49;20.99;63.49;73.49;101.49;19.49;19.49;45.49;8.49;23.49;5.29;13.49;28.49;8.39;6.39;9.89;4.49;68.49;62.49;39.49;6.89;19.49;9.29;40.49;68.49;8.19;19.49;1;0.04;
0.39;13.2;4.5;0.39;0.61;0.48;1.5;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.5;21;63.5;73.5;101.5;19.5;19.5;45.5;8.5;23.5;5.3;13.5;28.5;8.4;6.4;9.9;4.5;68.5;62.5;39.5;6.9;19.5;9.3;40.5;68.5;8.2;19.5;1;0.04;
0.39;13.21;4.49;0.39;0.61;0.48;1.49;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.51;21.01;63.51;73.51;101.51;19.51;19.51;45.51;8.51;23.51;5.31;13.51;28.51;8.41;6.41;9.91;4.51;68.51;62.51;39.51;6.91;19.51;9.31;40.51;68.51;8.21;19.51;1;0.04;
0.39;13.22;4.48;0.39;0.61;0.48;1.48;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.52;21.02;63.52;73.52;101.52;19.52;19.52;45.52;8.52;23.52;5.32;13.52;28.52;8.42;6.42;9.92;4.52;68.52;62.52;39.52;6.92;19.52;9.32;40.52;68.52;8.22;19.52;1;0.04;
0.39;13.23;4.47;0.39;0.61;0.48;1.47;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.53;21.03;63.53;73.53;101.53;19.53;19.53;45.53;8.53;23.53;5.33;13.53;28.53;8.43;6.43;9.93;4.53;68.53;62.53;39.53;6.93;19.53;9.33;40.53;68.53;8.23;19.53;1;0.04;
0.39;13.24;4.46;0.39;0.61;0.48;1.46;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.54;21.04;63.54;73.54;101.54;19.54;19.54;45.54;8.54;23.54;5.34;13.54;28.54;8.44;6.44;9.94;4.54;68.54;62.54;39.54;6.94;19.54;9.34;40.54;68.54;8.24;19.54;1;0.04;
0.39;13.25;4.45;0.39;0.61;0.48;1.45;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.55;21.05;63.55;73.55;101.55;19.55;19.55;45.55;8.55;23.55;5.35;13.55;28.55;8.45;6.45;9.95;4.55;68.55;62.55;39.55;6.95;19.55;9.35;40.55;68.55;8.25;19.55;1;0.04;
0.39;13.26;4.44;0.39;0.61;0.48;1.44;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.56;21.06;63.56;73.56;101.56;19.56;19.56;45.56;8.56;23.56;5.36;13.56;28.56;8.46;6.46;9.96;4.56;68.56;62.56;39.56;6.96;19.56;9.36;40.56;68.56;8.26;19.56;1;0.04;
0.39;13.27;4.43;0.39;0.61;0.48;1.43;2.4;1.8;0.48;0.38;0.33;0.87;0.54;2;0.05;0.15;2;0.16;113.57;21.07;63.57;73.57;101.57;19.57;19.57;45.57;8.57;23.57;5.37;13.57;28.57;8.47;6.47;9.97;4.57;68.57;62.57;39.57;6.97;19.57;9.37;40.57;68.57;8.27;19.57;1;0.04;
